month,average_players,peak_players,source
2024-12,310954,480990,Steambase
2025-01,311652,644269,Steambase
2025-02,234315,437915,Steambase
2025-03,145209,307231,Steambase
2025-04,135192,315196,Steambase
2025-05,102359,190368,Steambase
2025-06,76798,159005,Steambase
2025-07,81123,163232,Steambase
2025-08,75981,149471,Steambase
2025-09,61189,132100,Steambase
2025-10,61339,127567,Steambase
2025-11,66649,160052,Steambase
2025-12,73802,153550,Steambase
2026-01,87063,200027,Steambase
2026-02,78464,153761,Steambase
2026-03,62156,141881,Steambase
2026-04,62936,106262,Steambase
