acquisition_channel,day,installs,retained,retention_rate
Steam Featuring,D1,270,142,0.5259259259259259
Steam Featuring,D7,270,120,0.4444444444444444
Steam Featuring,D14,270,82,0.3037037037037037
Steam Featuring,D30,270,54,0.2
Organic,D1,677,300,0.4431314623338257
Organic,D7,677,253,0.37370753323485967
Organic,D14,677,174,0.2570162481536189
Organic,D30,677,101,0.14918759231905465
Google UAC,D1,355,186,0.523943661971831
Google UAC,D7,355,151,0.4253521126760563
Google UAC,D14,355,87,0.24507042253521127
Google UAC,D30,355,60,0.16901408450704225
Meta,D1,468,202,0.43162393162393164
Meta,D7,468,142,0.3034188034188034
Meta,D14,468,119,0.25427350427350426
Meta,D30,468,66,0.14102564102564102
TikTok,D1,463,159,0.3434125269978402
TikTok,D7,463,150,0.32397408207343414
TikTok,D14,463,100,0.2159827213822894
TikTok,D30,463,47,0.10151187904967603
Influencer,D1,267,144,0.5393258426966292
Influencer,D7,267,112,0.41947565543071164
Influencer,D14,267,85,0.31835205992509363
Influencer,D30,267,50,0.18726591760299627
