mode,map,matches,win_rate,avg_soft_currency
Quick Match,Tokyo 2099,9263,0.5281,73.5
Quick Match,Yggsgard,9303,0.5239,73.3
Quick Match,Hell's Heaven,9310,0.5398,73.9
Quick Match,Spider-Islands,9225,0.5304,73.6
Quick Match,Birnin T'Challa,9310,0.5299,73.5
Competitive,Tokyo 2099,5350,0.5179,73.1
Competitive,Yggsgard,5341,0.5145,73.0
Competitive,Hell's Heaven,5386,0.5110,72.9
Competitive,Spider-Islands,5412,0.5146,73.0
Competitive,Birnin T'Challa,5340,0.5176,73.1
Arcade,Tokyo 2099,2521,0.5327,73.6
Arcade,Yggsgard,2523,0.5275,73.5
Arcade,Hell's Heaven,2505,0.5253,73.4
Arcade,Spider-Islands,2550,0.5349,73.7
Arcade,Birnin T'Challa,2532,0.5604,74.6
PvE Event,Tokyo 2099,2125,0.5360,73.8
PvE Event,Yggsgard,2146,0.5415,74.0
PvE Event,Hell's Heaven,2142,0.5448,74.1
PvE Event,Spider-Islands,2180,0.5427,74.0
PvE Event,Birnin T'Challa,2057,0.5421,74.0
