campaign_id,creative_id,acquisition_channel,installs,spend_usd,cpi,d7_revenue_usd,d30_revenue_usd,d7_roas,d30_roas
steam_featuring_1,creative_2,Steam Featuring,13,9.29,0.71,0.00,0.00,0.0000,0.0000
organic,organic,Organic,677,0.00,0.00,199.80,259.70,199.8000,259.7000
google_uac_2,creative_4,Google UAC,19,80.59,4.24,14.97,24.96,0.1858,0.3097
meta_3,creative_4,Meta,27,98.41,3.64,4.99,4.99,0.0507,0.0507
google_uac_1,creative_3,Google UAC,29,122.91,4.24,0.00,19.99,0.0000,0.1626
meta_3,creative_6,Meta,19,71.23,3.75,0.00,0.00,0.0000,0.0000
google_uac_3,creative_2,Google UAC,17,71.36,4.20,9.98,19.97,0.1398,0.2798
steam_featuring_3,creative_4,Steam Featuring,11,7.87,0.72,0.00,0.00,0.0000,0.0000
tiktok_3,creative_2,TikTok,28,60.39,2.16,0.00,0.00,0.0000,0.0000
tiktok_2,creative_5,TikTok,19,40.84,2.15,19.99,39.98,0.4895,0.9790
google_uac_1,creative_1,Google UAC,12,48.05,4.00,0.00,0.00,0.0000,0.0000
influencer_3,creative_2,Influencer,21,60.95,2.90,0.00,0.00,0.0000,0.0000
tiktok_1,creative_4,TikTok,24,51.34,2.14,0.00,0.00,0.0000,0.0000
tiktok_2,creative_4,TikTok,31,65.57,2.12,0.00,0.00,0.0000,0.0000
google_uac_1,creative_5,Google UAC,15,61.43,4.10,0.00,0.00,0.0000,0.0000
steam_featuring_1,creative_1,Steam Featuring,19,13.36,0.70,0.00,0.00,0.0000,0.0000
meta_2,creative_1,Meta,27,98.07,3.63,0.00,9.99,0.0000,0.1019
tiktok_3,creative_4,TikTok,35,75.37,2.15,0.00,0.00,0.0000,0.0000
google_uac_3,creative_3,Google UAC,16,67.42,4.21,0.00,9.99,0.0000,0.1482
google_uac_2,creative_1,Google UAC,23,98.63,4.29,0.00,0.00,0.0000,0.0000
tiktok_3,creative_1,TikTok,24,51.11,2.13,9.99,9.99,0.1955,0.1955
influencer_1,creative_3,Influencer,12,34.44,2.87,0.00,4.99,0.0000,0.1449
influencer_3,creative_6,Influencer,14,38.94,2.78,0.00,0.00,0.0000,0.0000
influencer_1,creative_1,Influencer,21,60.59,2.89,24.98,34.97,0.4123,0.5772
tiktok_1,creative_6,TikTok,28,59.27,2.12,0.00,0.00,0.0000,0.0000
steam_featuring_3,creative_2,Steam Featuring,21,15.38,0.73,34.97,34.97,2.2742,2.2742
google_uac_1,creative_2,Google UAC,24,98.20,4.09,4.99,9.98,0.0508,0.1016
